"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1764","POST update Project -- @1.1 ","","Fri Nov 29 08:26:40 GMT 2024","passed","Fri Nov 29 08:26:42 GMT 2024","","","",""
"","2643","POST update Task -- @1.1 ","","Fri Nov 29 08:26:53 GMT 2024","passed","Fri Nov 29 08:26:56 GMT 2024","","","",""
"","504","DELETE a Project - Negative Scenario -- @1.1 ","","Fri Nov 29 08:26:43 GMT 2024","passed","Fri Nov 29 08:26:44 GMT 2024","","","",""
"","143","POST Create new Task - Negative Scenario -- @1.1 ","","Fri Nov 29 08:26:51 GMT 2024","passed","Fri Nov 29 08:26:51 GMT 2024","","","",""
"","243","POST reopen Task - Negative Scenario","","Fri Nov 29 08:27:01 GMT 2024","passed","Fri Nov 29 08:27:01 GMT 2024","","","",""
"","1559","POST close Task -- @1.1 ","","Fri Nov 29 08:26:56 GMT 2024","failed","Fri Nov 29 08:26:57 GMT 2024","","","",""
"","122","GET active Task - Negative Scenario","","Fri Nov 29 08:26:53 GMT 2024","passed","Fri Nov 29 08:26:53 GMT 2024","","","",""
"","120","GET active Project - Negative Scenario","","Fri Nov 29 08:26:40 GMT 2024","passed","Fri Nov 29 08:26:40 GMT 2024","","","",""
"","1997","GET active Project -- @1.1 ","","Fri Nov 29 08:26:38 GMT 2024","passed","Fri Nov 29 08:26:40 GMT 2024","","","",""
"","251","GET Project collaborators - Negative Scenario","","Fri Nov 29 08:26:46 GMT 2024","passed","Fri Nov 29 08:26:46 GMT 2024","","","",""
"","151","POST update Project - Negative Scenario -- @1.1 ","","Fri Nov 29 08:26:42 GMT 2024","passed","Fri Nov 29 08:26:42 GMT 2024","","","",""
"","4878","DELETE a Task -- @1.1 ","","Fri Nov 29 08:27:01 GMT 2024","passed","Fri Nov 29 08:27:06 GMT 2024","","","",""
"","2044","POST Create new Task -- @1.1 ","","Fri Nov 29 08:26:49 GMT 2024","passed","Fri Nov 29 08:26:51 GMT 2024","","","",""
"","1204","DELETE a Project -- @1.1 ","","Fri Nov 29 08:26:42 GMT 2024","passed","Fri Nov 29 08:26:43 GMT 2024","","","",""
"","2407","GET active Tasks -- @1.1 ","","Fri Nov 29 08:26:46 GMT 2024","passed","Fri Nov 29 08:26:49 GMT 2024","","","",""
"","2885","GET active Projects -- @1.1 ","","Fri Nov 29 08:26:33 GMT 2024","passed","Fri Nov 29 08:26:36 GMT 2024","","","",""
"","117","DELETE a Task - Negative Scenario","","Fri Nov 29 08:27:06 GMT 2024","passed","Fri Nov 29 08:27:06 GMT 2024","","","",""
"","2232","GET Project collaborators -- @1.1 ","","Fri Nov 29 08:26:44 GMT 2024","passed","Fri Nov 29 08:26:46 GMT 2024","","","",""
"","2161","GET active Task -- @1.1 ","","Fri Nov 29 08:26:51 GMT 2024","passed","Fri Nov 29 08:26:53 GMT 2024","","","",""
"","121","POST Create new Project - Negative Scenario -- @1.1 ","","Fri Nov 29 08:26:38 GMT 2024","passed","Fri Nov 29 08:26:38 GMT 2024","","","",""
"","1519","POST Create new Project -- @1.1 ","","Fri Nov 29 08:26:36 GMT 2024","passed","Fri Nov 29 08:26:38 GMT 2024","","","",""
"","3750","POST reopen Task -- @1.1 ","","Fri Nov 29 08:26:57 GMT 2024","passed","Fri Nov 29 08:27:01 GMT 2024","","","",""
"","128","POST update Task - Negative Scenario -- @1.1 ","","Fri Nov 29 08:26:56 GMT 2024","passed","Fri Nov 29 08:26:56 GMT 2024","","","",""
"","119","POST close Task - Negative Scenario","","Fri Nov 29 08:26:57 GMT 2024","passed","Fri Nov 29 08:26:57 GMT 2024","","","",""
