"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1517","GET active Projects -- @1.1 ","","Fri Nov 29 07:13:12 GMT 2024","passed","Fri Nov 29 07:13:14 GMT 2024","","","",""
"","41","POST close Task - Negative Scenario","","Fri Nov 29 07:13:30 GMT 2024","passed","Fri Nov 29 07:13:30 GMT 2024","","","",""
"","1300","GET active Project -- @1.1 ","","Fri Nov 29 07:13:15 GMT 2024","passed","Fri Nov 29 07:13:16 GMT 2024","","","",""
"","39","POST Create new Task - Negative Scenario -- @1.1 ","","Fri Nov 29 07:13:24 GMT 2024","passed","Fri Nov 29 07:13:24 GMT 2024","","","",""
"","830","DELETE a Project -- @1.1 ","","Fri Nov 29 07:13:18 GMT 2024","passed","Fri Nov 29 07:13:19 GMT 2024","","","",""
"","1037","POST Create new Project -- @1.1 ","","Fri Nov 29 07:13:14 GMT 2024","passed","Fri Nov 29 07:13:15 GMT 2024","","","",""
"","42","GET active Task - Negative Scenario","","Fri Nov 29 07:13:26 GMT 2024","passed","Fri Nov 29 07:13:26 GMT 2024","","","",""
"","47","DELETE a Task - Negative Scenario","","Fri Nov 29 07:13:34 GMT 2024","passed","Fri Nov 29 07:13:34 GMT 2024","","","",""
"","1311","GET Project collaborators -- @1.1 ","","Fri Nov 29 07:13:19 GMT 2024","passed","Fri Nov 29 07:13:20 GMT 2024","","","",""
"","57","DELETE a Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:13:19 GMT 2024","passed","Fri Nov 29 07:13:19 GMT 2024","","","",""
"","1365","POST Create new Task -- @1.1 ","","Fri Nov 29 07:13:22 GMT 2024","passed","Fri Nov 29 07:13:24 GMT 2024","","","",""
"","34","GET Project collaborators - Negative Scenario","","Fri Nov 29 07:13:20 GMT 2024","passed","Fri Nov 29 07:13:20 GMT 2024","","","",""
"","53","GET active Project - Negative Scenario","","Fri Nov 29 07:13:16 GMT 2024","passed","Fri Nov 29 07:13:16 GMT 2024","","","",""
"","1325","POST close Task -- @1.1 ","","Fri Nov 29 07:13:29 GMT 2024","passed","Fri Nov 29 07:13:30 GMT 2024","","","",""
"","1232","DELETE a Task -- @1.1 ","","Fri Nov 29 07:13:33 GMT 2024","passed","Fri Nov 29 07:13:34 GMT 2024","","","",""
"","2133","POST update Task -- @1.1 ","","Fri Nov 29 07:13:26 GMT 2024","passed","Fri Nov 29 07:13:28 GMT 2024","","","",""
"","2120","GET active Tasks -- @1.1 ","","Fri Nov 29 07:13:20 GMT 2024","passed","Fri Nov 29 07:13:22 GMT 2024","","","",""
"","131","POST update Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:13:18 GMT 2024","passed","Fri Nov 29 07:13:18 GMT 2024","","","",""
"","38","POST Create new Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:13:15 GMT 2024","passed","Fri Nov 29 07:13:15 GMT 2024","","","",""
"","2783","POST reopen Task -- @1.1 ","","Fri Nov 29 07:13:30 GMT 2024","passed","Fri Nov 29 07:13:33 GMT 2024","","","",""
"","141","POST update Task - Negative Scenario -- @1.1 ","","Fri Nov 29 07:13:28 GMT 2024","passed","Fri Nov 29 07:13:29 GMT 2024","","","",""
"","58","POST reopen Task - Negative Scenario","","Fri Nov 29 07:13:33 GMT 2024","passed","Fri Nov 29 07:13:33 GMT 2024","","","",""
"","2044","POST update Project -- @1.1 ","","Fri Nov 29 07:13:16 GMT 2024","passed","Fri Nov 29 07:13:18 GMT 2024","","","",""
"","2295","GET active Task -- @1.1 ","","Fri Nov 29 07:13:24 GMT 2024","passed","Fri Nov 29 07:13:26 GMT 2024","","","",""
