"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2429","GET active Projects -- @1.1 ","","Fri Nov 29 08:02:50 GMT 2024","passed","Fri Nov 29 08:02:53 GMT 2024","","","",""
"","1729","POST close Task -- @1.1 ","","Fri Nov 29 08:03:14 GMT 2024","passed","Fri Nov 29 08:03:15 GMT 2024","","","",""
"","2321","GET active Tasks -- @1.1 ","","Fri Nov 29 08:03:05 GMT 2024","passed","Fri Nov 29 08:03:07 GMT 2024","","","",""
"","50","POST reopen Task - Negative Scenario","","Fri Nov 29 08:03:18 GMT 2024","passed","Fri Nov 29 08:03:18 GMT 2024","","","",""
"","1430","DELETE a Project -- @1.1 ","","Fri Nov 29 08:02:59 GMT 2024","passed","Fri Nov 29 08:03:00 GMT 2024","","","",""
"","1948","POST update Project -- @1.1 ","","Fri Nov 29 08:02:57 GMT 2024","passed","Fri Nov 29 08:02:59 GMT 2024","","","",""
"","89","POST update Project - Negative Scenario -- @1.1 ","","Fri Nov 29 08:02:59 GMT 2024","passed","Fri Nov 29 08:02:59 GMT 2024","","","",""
"","55","POST Create new Task - Negative Scenario -- @1.1 ","","Fri Nov 29 08:03:09 GMT 2024","passed","Fri Nov 29 08:03:10 GMT 2024","","","",""
"","2156","POST update Task -- @1.1 ","","Fri Nov 29 08:03:12 GMT 2024","passed","Fri Nov 29 08:03:14 GMT 2024","","","",""
"","2551","POST Create new Task -- @1.1 ","","Fri Nov 29 08:03:07 GMT 2024","passed","Fri Nov 29 08:03:09 GMT 2024","","","",""
"","82","POST Create new Project - Negative Scenario -- @1.1 ","","Fri Nov 29 08:02:54 GMT 2024","passed","Fri Nov 29 08:02:55 GMT 2024","","","",""
"","2705","POST reopen Task -- @1.1 ","","Fri Nov 29 08:03:16 GMT 2024","passed","Fri Nov 29 08:03:18 GMT 2024","","","",""
"","4081","GET Project collaborators -- @1.1 ","","Fri Nov 29 08:03:00 GMT 2024","passed","Fri Nov 29 08:03:05 GMT 2024","","","",""
"","2227","GET active Project -- @1.1 ","","Fri Nov 29 08:02:55 GMT 2024","passed","Fri Nov 29 08:02:57 GMT 2024","","","",""
"","163","DELETE a Project - Negative Scenario -- @1.1 ","","Fri Nov 29 08:03:00 GMT 2024","passed","Fri Nov 29 08:03:00 GMT 2024","","","",""
"","53","GET active Project - Negative Scenario","","Fri Nov 29 08:02:57 GMT 2024","passed","Fri Nov 29 08:02:57 GMT 2024","","","",""
"","121","DELETE a Task - Negative Scenario","","Fri Nov 29 08:03:20 GMT 2024","passed","Fri Nov 29 08:03:20 GMT 2024","","","",""
"","2044","DELETE a Task -- @1.1 ","","Fri Nov 29 08:03:18 GMT 2024","passed","Fri Nov 29 08:03:20 GMT 2024","","","",""
"","1529","POST Create new Project -- @1.1 ","","Fri Nov 29 08:02:53 GMT 2024","passed","Fri Nov 29 08:02:54 GMT 2024","","","",""
"","56","POST close Task - Negative Scenario","","Fri Nov 29 08:03:15 GMT 2024","passed","Fri Nov 29 08:03:16 GMT 2024","","","",""
"","79","GET Project collaborators - Negative Scenario","","Fri Nov 29 08:03:05 GMT 2024","passed","Fri Nov 29 08:03:05 GMT 2024","","","",""
"","51","GET active Task - Negative Scenario","","Fri Nov 29 08:03:11 GMT 2024","passed","Fri Nov 29 08:03:12 GMT 2024","","","",""
"","58","POST update Task - Negative Scenario -- @1.1 ","","Fri Nov 29 08:03:14 GMT 2024","passed","Fri Nov 29 08:03:14 GMT 2024","","","",""
"","1947","GET active Task -- @1.1 ","","Fri Nov 29 08:03:10 GMT 2024","passed","Fri Nov 29 08:03:11 GMT 2024","","","",""
