"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login functionallity","6","0","","0"
"0","","0","Create a new task functionallity","1","0","","0"
"1","","0","Create a new project functionallity","0","0","","0"
