"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3933","GET active Task -- @1.1 ","","Fri Nov 29 07:18:30 GMT 2024","passed","Fri Nov 29 07:18:34 GMT 2024","","","",""
"","1453","POST Create new Task -- @1.1 ","","Fri Nov 29 07:18:29 GMT 2024","passed","Fri Nov 29 07:18:30 GMT 2024","","","",""
"","2026","POST update Task -- @1.1 ","","Fri Nov 29 07:18:34 GMT 2024","passed","Fri Nov 29 07:18:36 GMT 2024","","","",""
"","2922","POST close Task -- @1.1 ","","Fri Nov 29 07:18:36 GMT 2024","passed","Fri Nov 29 07:18:39 GMT 2024","","","",""
"","1277","GET active Project -- @1.1 ","","Fri Nov 29 07:18:22 GMT 2024","passed","Fri Nov 29 07:18:23 GMT 2024","","","",""
"","1309","GET active Projects -- @1.1 ","","Fri Nov 29 07:18:19 GMT 2024","passed","Fri Nov 29 07:18:21 GMT 2024","","","",""
"","54","POST close Task - Negative Scenario","","Fri Nov 29 07:18:39 GMT 2024","passed","Fri Nov 29 07:18:39 GMT 2024","","","",""
"","42","DELETE a Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:18:25 GMT 2024","passed","Fri Nov 29 07:18:26 GMT 2024","","","",""
"","48","DELETE a Task - Negative Scenario","","Fri Nov 29 07:18:43 GMT 2024","passed","Fri Nov 29 07:18:43 GMT 2024","","","",""
"","905","POST Create new Project -- @1.1 ","","Fri Nov 29 07:18:21 GMT 2024","passed","Fri Nov 29 07:18:22 GMT 2024","","","",""
"","1533","POST update Project -- @1.1 ","","Fri Nov 29 07:18:23 GMT 2024","passed","Fri Nov 29 07:18:24 GMT 2024","","","",""
"","55","POST Create new Task - Negative Scenario -- @1.1 ","","Fri Nov 29 07:18:30 GMT 2024","passed","Fri Nov 29 07:18:30 GMT 2024","","","",""
"","44","POST Create new Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:18:22 GMT 2024","passed","Fri Nov 29 07:18:22 GMT 2024","","","",""
"","1405","DELETE a Task -- @1.1 ","","Fri Nov 29 07:18:42 GMT 2024","passed","Fri Nov 29 07:18:43 GMT 2024","","","",""
"","44","GET active Project - Negative Scenario","","Fri Nov 29 07:18:23 GMT 2024","passed","Fri Nov 29 07:18:23 GMT 2024","","","",""
"","1752","GET active Tasks -- @1.1 ","","Fri Nov 29 07:18:27 GMT 2024","passed","Fri Nov 29 07:18:29 GMT 2024","","","",""
"","46","POST update Task - Negative Scenario -- @1.1 ","","Fri Nov 29 07:18:36 GMT 2024","passed","Fri Nov 29 07:18:36 GMT 2024","","","",""
"","50","GET active Task - Negative Scenario","","Fri Nov 29 07:18:34 GMT 2024","passed","Fri Nov 29 07:18:34 GMT 2024","","","",""
"","1507","GET Project collaborators -- @1.1 ","","Fri Nov 29 07:18:26 GMT 2024","passed","Fri Nov 29 07:18:27 GMT 2024","","","",""
"","43","POST update Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:18:24 GMT 2024","passed","Fri Nov 29 07:18:25 GMT 2024","","","",""
"","972","DELETE a Project -- @1.1 ","","Fri Nov 29 07:18:25 GMT 2024","passed","Fri Nov 29 07:18:25 GMT 2024","","","",""
"","48","POST reopen Task - Negative Scenario","","Fri Nov 29 07:18:42 GMT 2024","passed","Fri Nov 29 07:18:42 GMT 2024","","","",""
"","2538","POST reopen Task -- @1.1 ","","Fri Nov 29 07:18:39 GMT 2024","passed","Fri Nov 29 07:18:42 GMT 2024","","","",""
"","42","GET Project collaborators - Negative Scenario","","Fri Nov 29 07:18:27 GMT 2024","passed","Fri Nov 29 07:18:27 GMT 2024","","","",""
